FEN,stockfish_score
r4rk1/pb1nq1pp/1p1bpp2/2pp4/2PP4/1P1n1NP1/1B2PPBP/R2Q1RK1 w - - 0 17,-0.82
r4rk1/pb1nq1pp/1p1bpp2/2pp4/2PP4/1P1Q1NP1/1B2PPBP/R4RK1 b - - 0 17,-0.39
r4rk1/pb1nq1pp/1p1b1p2/2ppp3/2PP4/1P1Q1NP1/1B2PPBP/R4RK1 w - - 0 18,0.26
r4rk1/pb1nq1pp/1p1b1p2/2ppP3/2P5/1P1Q1NP1/1B2PPBP/R4RK1 b - - 0 18,0.56
r4rk1/pb1nq1pp/1p1b4/2ppp3/2P5/1P1Q1NP1/1B2PPBP/R4RK1 w - - 0 19,0.73
r4rk1/pb1nq1pp/1p1b4/2ppp3/2P5/1P1Q2P1/1B1NPPBP/R4RK1 b - - 1 19,-0.56
r4rk1/pb1nq1pp/1p1b4/2pp4/2P1p3/1P1Q2P1/1B1NPPBP/R4RK1 w - - 0 20,-1.37
r4rk1/pb1nq1pp/1p1b4/2pp4/2P1p3/1PQ3P1/1B1NPPBP/R4RK1 b - - 1 20,-2.2
r4rk1/pb2q1pp/1p1b1n2/2pp4/2P1p3/1PQ3P1/1B1NPPBP/R4RK1 w - - 2 21,-0.61
r4rk1/pb2q1pp/1p1b1n2/2pP4/4p3/1PQ3P1/1B1NPPBP/R4RK1 b - - 0 21,-0.26
r4rk1/pb2q1pp/1p1b4/2pn4/4p3/1PQ3P1/1B1NPPBP/R4RK1 w - - 0 22,-0.35
r4rk1/pb2q1pp/1p1b4/2pn4/2Q1p3/1P4P1/1B1NPPBP/R4RK1 b - - 1 22,0.6
r4r1k/pb2q1pp/1p1b4/2pn4/2Q1p3/1P4P1/1B1NPPBP/R4RK1 w - - 2 23,0.77
r4r1k/pb2q1pp/1p1b4/2pn4/2Q1B3/1P4P1/1B1NPP1P/R4RK1 b - - 0 23,0.43
4rr1k/pb2q1pp/1p1b4/2pn4/2Q1B3/1P4P1/1B1NPP1P/R4RK1 w - - 1 24,2.24
4rr1k/pb2q1pp/1p1b4/2pB4/2Q5/1P4P1/1B1NPP1P/R4RK1 b - - 0 24,2.8
4rr1k/pb4pp/1p1b4/2pB4/2Q5/1P4P1/1B1NqP1P/R4RK1 w - - 0 25,4.91
4rr1k/pb4pp/1p1b4/2pB4/8/1P4P1/1B1NQP1P/R4RK1 b - - 0 25,3.53
5r1k/pb4pp/1p1b4/2pB4/8/1P4P1/1B1NrP1P/R4RK1 w - - 0 26,3.35
5r1k/pB4pp/1p1b4/2p5/8/1P4P1/1B1NrP1P/R4RK1 b - - 0 26,3.51
5r1k/pB4pp/1p1b4/2p5/8/1P4P1/1B1r1P1P/R4RK1 w - - 0 27,3.78
5r1k/pB4pp/1p1b4/2p5/8/1PB3P1/3r1P1P/R4RK1 b - - 1 27,3.38
5r1k/pB4pp/1p1b4/2p5/8/1PB3P1/2r2P1P/R4RK1 w - - 2 28,3.78
5r1k/pB4pp/1p1b4/2p5/8/1P4P1/2r2P1P/R3BRK1 b - - 3 28,4.19
5r1k/pB4p1/1p1b4/2p4p/8/1P4P1/2r2P1P/R3BRK1 w - - 0 29,4.47
5r1k/p5p1/1p1b4/2p4p/8/1P4P1/2r2PBP/R3BRK1 b - - 1 29,4.47
5r1k/p5p1/1p1b4/2p5/7p/1P4P1/2r2PBP/R3BRK1 w - - 0 30,4.38
5r1k/p5p1/1p1b4/2p5/7p/1P4P1/2r2PBP/3RBRK1 b - - 1 30,4.73
5r1k/p5p1/1p1b4/2p5/8/1P4p1/2r2PBP/3RBRK1 w - - 0 31,4.94
5r1k/p5p1/1p1R4/2p5/8/1P4p1/2r2PBP/4BRK1 b - - 0 31,4.12
5r1k/p5p1/1p1R4/2p5/8/1P6/2r2PBp/4BRK1 w - - 0 32,5.3
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,0.3
rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,0.52
rnbqkbnr/ppp1pppp/3p4/8/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2,0.43
rnbqkb1r/ppp1pppp/3p1n2/8/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq - 2 3,0.52
rnbqkb1r/ppp1pppp/3p1n2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 3 3,0.35
rnbqkb1r/ppp2ppp/3p1n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 0 4,0.43
rnbqkb1r/ppp2ppp/3p1n2/4p3/4P3/2NP1N2/PPP2PPP/R1BQKB1R b KQkq - 0 4,0.21
r1bqkb1r/pppn1ppp/3p1n2/4p3/4P3/2NP1N2/PPP2PPP/R1BQKB1R w KQkq - 1 5,0.3
r1bqkb1r/pppn1ppp/3p1n2/4p3/4P3/2NP1N2/PPP1BPPP/R1BQK2R b KQkq - 2 5,0.39
r1bqk2r/pppnbppp/3p1n2/4p3/4P3/2NP1N2/PPP1BPPP/R1BQK2R w KQkq - 3 6,0.09
r1bqk2r/pppnbppp/3p1n2/4p3/4P3/2NP1N2/PPP1BPPP/R1BQ1RK1 b kq - 4 6,0.25
r1bq1rk1/pppnbppp/3p1n2/4p3/4P3/2NP1N2/PPP1BPPP/R1BQ1RK1 w - - 5 7,0.0
r1bq1rk1/pppnbppp/3p1n2/4p3/4P3/2NP1N1P/PPP1BPP1/R1BQ1RK1 b - - 0 7,0.21
r1bq1rk1/pp1nbppp/2pp1n2/4p3/4P3/2NP1N1P/PPP1BPP1/R1BQ1RK1 w - - 0 8,-0.04
r1bq1rk1/pp1nbppp/2pp1n2/4p3/4P3/2NP3P/PPP1BPPN/R1BQ1RK1 b - - 1 8,0.0
r1bq1rk1/p2nbppp/2pp1n2/1p2p3/4P3/2NP3P/PPP1BPPN/R1BQ1RK1 w - - 0 9,-0.3
r1bq1rk1/p2nbppp/2pp1n2/1p2p3/4PP2/2NP3P/PPP1B1PN/R1BQ1RK1 b - - 0 9,-2.42
r1bq1rk1/p2nbppp/2p2n2/1p1pp3/4PP2/2NP3P/PPP1B1PN/R1BQ1RK1 w - - 0 10,-0.22
r1bq1rk1/p2nbppp/2p2n2/1p1Pp3/5P2/2NP3P/PPP1B1PN/R1BQ1RK1 b - - 0 10,-3.76
r1bq1rk1/p2nbppp/2p5/1p1np3/5P2/2NP3P/PPP1B1PN/R1BQ1RK1 w - - 0 11,-0.09
r1bq1rk1/p2nbppp/2p5/1p1Np3/5P2/3P3P/PPP1B1PN/R1BQ1RK1 b - - 0 11,-3.02
r1bq1rk1/p2nbppp/8/1p1pp3/5P2/3P3P/PPP1B1PN/R1BQ1RK1 w - - 0 12,-0.13
r1bq1rk1/p2nbppp/8/1p1ppP2/8/3P3P/PPP1B1PN/R1BQ1RK1 b - - 0 12,-4.44
r1b2rk1/p2nbppp/1q6/1p1ppP2/8/3P3P/PPP1B1PN/R1BQ1RK1 w - - 1 13,-0.64
r1b2rk1/p2nbppp/1q6/1p1ppP2/8/3P3P/PPP1B1PN/R1BQ1R1K b - - 2 13,-0.34
r1b2rk1/p3bppp/1q3n2/1p1ppP2/8/3P3P/PPP1B1PN/R1BQ1R1K w - - 3 14,-0.51
r1b2rk1/p3bppp/1q3n2/1p1ppP2/6N1/3P3P/PPP1B1P1/R1BQ1R1K b - - 4 14,-0.26
r4rk1/pb2bppp/1q3n2/1p1ppP2/6N1/3P3P/PPP1B1P1/R1BQ1R1K w - - 5 15,-0.26
r4rk1/pb2bppp/1q3n2/1p1pNP2/8/3P3P/PPP1B1P1/R1BQ1R1K b - - 0 15,0.13
4rrk1/pb2bppp/1q3n2/1p1pNP2/8/3P3P/PPP1B1P1/R1BQ1R1K w - - 1 16,0.0
4rrk1/pb2bppp/1q3n2/1p1pNPB1/8/3P3P/PPP1B1P1/R2Q1R1K b - - 2 16,-0.04
4rrk1/pb2bppp/5n2/1p1pNPB1/3q4/3P3P/PPP1B1P1/R2Q1R1K w - - 3 17,-0.08
4rrk1/pb2bppp/5B2/1p1pNP2/3q4/3P3P/PPP1B1P1/R2Q1R1K b - - 0 17,-0.26
4rrk1/pb3ppp/5b2/1p1pNP2/3q4/3P3P/PPP1B1P1/R2Q1R1K w - - 0 18,-0.04
4rrk1/pb1N1ppp/5b2/1p1p1P2/3q4/3P3P/PPP1B1P1/R2Q1R1K b - - 1 18,0.99
4rrk1/pb1N1ppp/5b2/1p1p1P2/8/3P3P/PqP1B1P1/R2Q1R1K w - - 0 19,0.82
4rNk1/pb3ppp/5b2/1p1p1P2/8/3P3P/PqP1B1P1/R2Q1R1K b - - 0 19,-0.91
4rNk1/pb3ppp/5b2/1p1p1P2/8/3P3P/P1P1B1P1/q2Q1R1K w - - 0 20,-1.45
4r1k1/pb3ppN/5b2/1p1p1P2/8/3P3P/P1P1B1P1/q2Q1R1K b - - 0 20,-1.12
4r1k1/pb3ppN/5b2/1p1p1P2/8/3P3P/P1P1B1P1/3q1R1K w - - 0 21,0.98
4r1k1/pb3pp1/5N2/1p1p1P2/8/3P3P/P1P1B1P1/3q1R1K b - - 0 21,1.45
4r1k1/pb3p2/5p2/1p1p1P2/8/3P3P/P1P1B1P1/3q1R1K w - - 0 22,0.98
4r1k1/pb3p2/5p2/1p1p1P2/8/3P3P/P1P3P1/3B1R1K b - - 0 22,0.96
4r1k1/pb3p2/5p2/1p3P2/3p4/3P3P/P1P3P1/3B1R1K w - - 0 23,0.37
4r1k1/pb3p2/5p2/1p3P2/3p4/3P1B1P/P1P3P1/5R1K b - - 1 23,0.08
4r1k1/p4p2/5p2/1p3P2/3p4/3P1b1P/P1P3P1/5R1K w - - 0 24,-0.09
4r1k1/p4p2/5p2/1p3P2/3p4/3P1P1P/P1P5/5R1K b - - 0 24,-0.04
6k1/p4p2/5p2/1p3P2/3p4/3P1P1P/P1P1r3/5R1K w - - 1 25,6.42
6k1/p4p2/5p2/1p3P2/3p4/3P1P1P/P1P1r3/1R5K b - - 2 25,0.0
6k1/p4p2/5p2/1p3P2/3p4/3P1P1P/P1r5/1R5K w - - 0 26,5.99
6k1/p4p2/5p2/1R3P2/3p4/3P1P1P/P1r5/7K b - - 0 26,0.08
6k1/p4p2/5p2/1R3P2/3p4/3P1P1P/r7/7K w - - 0 27,-0.08
6k1/p4p2/5p2/3R1P2/3p4/3P1P1P/r7/7K b - - 1 27,0.04
6k1/5p2/5p2/p2R1P2/3p4/3P1P1P/r7/7K w - - 0 28,-0.13
6k1/5p2/5p2/p4P2/3R4/3P1P1P/r7/7K b - - 0 28,0.13
6k1/5p2/5p2/5P2/p2R4/3P1P1P/r7/7K w - - 0 29,0.0
6k1/5p2/3R1p2/5P2/p7/3P1P1P/r7/7K b - - 1 29,-0.13
6k1/5p2/3R1p2/5P2/8/p2P1P1P/r7/7K w - - 0 30,-0.24
6k1/5p2/5R2/5P2/8/p2P1P1P/r7/7K b - - 0 30,-2.08
8/5pk1/5R2/5P2/8/p2P1P1P/r7/7K w - - 1 31,-0.36
8/5pk1/R7/5P2/8/p2P1P1P/r7/7K b - - 2 31,0.04
8/5pk1/R7/5P2/8/p2P1P1P/8/r6K w - - 3 32,-0.16
8/5pk1/R7/5P2/8/p2P1P1P/6K1/r7 b - - 4 32,-0.08
8/5pk1/R7/5P2/8/3P1P1P/p5K1/r7 w - - 0 33,0.12
8/5pk1/R7/5P2/8/3P1PKP/p7/r7 b - - 1 33,-2.94
8/5pk1/R7/5P2/8/3P1PKP/p7/6r1 w - - 2 34,-2.9
8/5pk1/R7/5P2/5K2/3P1P1P/p7/6r1 b - - 3 34,-3.51
8/5pk1/R7/5P2/5K2/3P1P1P/8/q5r1 w - - 0 35,-5.21
8/5pk1/8/5P2/5K2/3P1P1P/8/R5r1 b - - 0 35,-4.95
8/5pk1/8/5P2/5K2/3P1P1P/8/r7 w - - 0 36,-4.8
8/5pk1/8/5P2/5K1P/3P1P2/8/r7 b - - 0 36,-4.89
8/5pk1/8/5P2/5K1P/3P1P2/8/7r w - - 1 37,-4.78
8/5pk1/8/5P2/3P1K1P/5P2/8/7r b - - 0 37,-4.93
8/5pk1/8/5P2/3P1K1r/5P2/8/8 w - - 0 38,-4.85
8/5pk1/8/4KP2/3P3r/5P2/8/8 b - - 1 38,-4.58
5k2/5p2/8/4KP2/3P3r/5P2/8/8 w - - 2 39,-4.66
5k2/5p2/8/4KP2/3P1P1r/8/8/8 b - - 0 39,-4.64
8/4kp2/8/4KP2/3P1P1r/8/8/8 w - - 1 40,-4.45
8/4kp2/5P2/4K3/3P1P1r/8/8/8 b - - 0 40,-4.44
8/3k1p2/5P2/4K3/3P1P1r/8/8/8 w - - 1 41,-4.58
8/3k1p2/5P2/3PK3/5P1r/8/8/8 b - - 0 41,-5.09
8/3k1p2/5P2/3PK3/5P2/8/8/7r w - - 1 42,-4.54
8/3k1p2/5P2/3PKP2/8/8/8/7r b - - 0 42,-5.09
8/3k1p2/5P2/3PKP2/8/8/8/4r3 w - - 1 43,-4.22
8/3k1p2/5P2/3P1P2/3K4/8/8/4r3 b - - 2 43,-6.05
8/5p2/3k1P2/3P1P2/3K4/8/8/4r3 w - - 3 44,-5.38
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,0.21
rnbqkb1r/pppppppp/5n2/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,0.04
rnbqkb1r/pppppppp/5n2/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,0.43
rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,0.22
rnbqkb1r/pp1ppppp/5n2/2pP4/2P5/8/PP2PPPP/RNBQKBNR b KQkq - 0 3,-0.39
rnbqkb1r/p2ppppp/5n2/1ppP4/2P5/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,0.78
rnbqkb1r/p2ppppp/5n2/1PpP4/8/8/PP2PPPP/RNBQKBNR b KQkq - 0 4,-0.39
rnbqkb1r/3ppppp/p4n2/1PpP4/8/8/PP2PPPP/RNBQKBNR w KQkq - 0 5,0.43
rnbqkb1r/3ppppp/P4n2/2pP4/8/8/PP2PPPP/RNBQKBNR b KQkq - 0 5,-1.34
rnbqkb1r/3ppp1p/P4np1/2pP4/8/8/PP2PPPP/RNBQKBNR w KQkq - 0 6,0.08
rnbqkb1r/3ppp1p/P4np1/2pP4/8/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 6,-1.08
rnbqk2r/3pppbp/P4np1/2pP4/8/5N2/PP2PPPP/RNBQKB1R w KQkq - 2 7,-0.09
rnbqk2r/3pppbp/P4np1/2pP4/8/5NP1/PP2PP1P/RNBQKB1R b KQkq - 0 7,-2.46
rnb1k2r/3pppbp/P4np1/q1pP4/8/5NP1/PP2PP1P/RNBQKB1R w KQkq - 1 8,0.34
rnb1k2r/3pppbp/P4np1/q1pP4/8/5NP1/PP1BPP1P/RN1QKB1R b KQkq - 2 8,0.59
rnb1k2r/3pppbp/Pq3np1/2pP4/8/5NP1/PP1BPP1P/RN1QKB1R w KQkq - 3 9,-0.09
rnb1k2r/3pppbp/Pq3np1/2pP4/8/5NP1/PP1BPPBP/RN1QK2R b KQkq - 4 9,0.04
rnb1k2r/3pppbp/P4np1/2pP4/8/5NP1/Pq1BPPBP/RN1QK2R w KQkq - 0 10,0.35
rnb1k2r/3pppbp/P4np1/2pP4/8/2B2NP1/Pq2PPBP/RN1QK2R b KQkq - 1 10,0.51
rnb1k2r/3pppbp/Pq3np1/2pP4/8/2B2NP1/P3PPBP/RN1QK2R w KQkq - 2 11,0.13
rnb1k2r/3pppbp/Pq3np1/2pP4/8/2B2NP1/P3PPBP/RN1Q1RK1 b kq - 3 11,0.39
rn2k2r/3pppbp/bq3np1/2pP4/8/2B2NP1/P3PPBP/RN1Q1RK1 w kq - 0 12,0.04
rn2k2r/3pppbp/bq3np1/2pP4/8/2B2NP1/P3PPBP/RN1QR1K1 b kq - 1 12,0.38
rn3rk1/3pppbp/bq3np1/2pP4/8/2B2NP1/P3PPBP/RN1QR1K1 w - - 2 13,0.05
rn3rk1/3pppbp/bq3np1/2pP4/4P3/2B2NP1/P4PBP/RN1QR1K1 b - - 0 13,0.17
rn3rk1/4ppbp/bq1p1np1/2pP4/4P3/2B2NP1/P4PBP/RN1QR1K1 w - - 0 14,-0.18
rn3rk1/4ppbp/bq1p1np1/2pPP3/8/2B2NP1/P4PBP/RN1QR1K1 b - - 0 14,0.61
rn3rk1/3nppbp/bq1p2p1/2pPP3/8/2B2NP1/P4PBP/RN1QR1K1 w - - 1 15,0.69
rn3rk1/3nppbp/bq1P2p1/2pP4/8/2B2NP1/P4PBP/RN1QR1K1 b - - 0 15,0.61
rn3rk1/3npp1p/bq1P2p1/2pP4/8/2b2NP1/P4PBP/RN1QR1K1 w - - 0 16,1.04
rn3rk1/3nPp1p/bq4p1/2pP4/8/2b2NP1/P4PBP/RN1QR1K1 b - - 0 16,0.26
rn3rk1/3nPp1p/bq4p1/2pP4/8/5NP1/P4PBP/bN1QR1K1 w - - 0 17,-1.51
rn3Qk1/3n1p1p/bq4p1/2pP4/8/5NP1/P4PBP/bN1QR1K1 b - - 0 17,-1.85
rn3nk1/5p1p/bq4p1/2pP4/8/5NP1/P4PBP/bN1QR1K1 w - - 0 18,-1.5
rn3nk1/5p1p/bq4p1/2pP4/8/5NP1/P2N1PBP/b2QR1K1 b - - 1 18,-1.41
rn3nk1/5p1p/bq4p1/2pP4/8/2b2NP1/P2N1PBP/3QR1K1 w - - 2 19,-1.29
rn2Rnk1/5p1p/bq4p1/2pP4/8/2b2NP1/P2N1PBP/3Q2K1 b - - 3 19,-1.78
1n2Rnk1/r4p1p/bq4p1/2pP4/8/2b2NP1/P2N1PBP/3Q2K1 w - - 4 20,-1.77
1n2Rnk1/r4p1p/bq4p1/2pP4/4N3/2b2NP1/P4PBP/3Q2K1 b - - 5 20,-2.13
1n2Rnk1/r4pbp/bq4p1/2pP4/4N3/5NP1/P4PBP/3Q2K1 w - - 6 21,-2.33
1n2Rnk1/r4pbp/bq1P2p1/2p5/4N3/5NP1/P4PBP/3Q2K1 b - - 0 21,-2.66
4Rnk1/r2n1pbp/bq1P2p1/2p5/4N3/5NP1/P4PBP/3Q2K1 w - - 1 22,-2.73
4Rnk1/r2n1pbp/bq1P2p1/2p3N1/4N3/6P1/P4PBP/3Q2K1 b - - 2 22,-2.49
4Rnk1/r2n1pbp/1q1P2p1/1bp3N1/4N3/6P1/P4PBP/3Q2K1 w - - 3 23,-0.99
4Rnk1/r2n1pbp/1q1P2p1/1bp3N1/4N3/5QP1/P4PBP/6K1 b - - 4 23,-1.85
4Rnk1/r4pbp/1q1P2p1/1bp1n1N1/4N3/5QP1/P4PBP/6K1 w - - 5 24,-1.29
4Rnk1/r4pbp/1q1P2p1/1bp1n1N1/4NQ2/6P1/P4PBP/6K1 b - - 6 24,-2.8
4bnk1/r4pbp/1q1P2p1/2p1n1N1/4NQ2/6P1/P4PBP/6K1 w - - 0 25,-4.47
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,0.18
rnbqkbnr/p1pppppp/1p6/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,0.65
rnbqkbnr/p1pppppp/1p6/8/8/1P3N2/P1PPPPPP/RNBQKB1R b KQkq - 0 2,0.17
rn1qkbnr/pbpppppp/1p6/8/8/1P3N2/P1PPPPPP/RNBQKB1R w KQkq - 1 3,-0.04
rn1qkbnr/pbpppppp/1p6/8/8/1P3N2/PBPPPPPP/RN1QKB1R b KQkq - 2 3,0.21
rn1qkbnr/pbp1pppp/1p1p4/8/8/1P3N2/PBPPPPPP/RN1QKB1R w KQkq - 0 4,0.39
rn1qkbnr/pbp1pppp/1p1p4/8/2P5/1P3N2/PB1PPPPP/RN1QKB1R b KQkq - 0 4,0.34
r2qkbnr/pbpnpppp/1p1p4/8/2P5/1P3N2/PB1PPPPP/RN1QKB1R w KQkq - 1 5,0.35
r2qkbnr/pbpnpppp/1p1p4/8/2P5/1P2PN2/PB1P1PPP/RN1QKB1R b KQkq - 0 5,0.35
r2qkbnr/pbpn1ppp/1p1p4/4p3/2P5/1P2PN2/PB1P1PPP/RN1QKB1R w KQkq - 0 6,0.3
r2qkbnr/pbpn1ppp/1p1p4/4p3/2P5/1P2PN2/PB1PBPPP/RN1QK2R b KQkq - 1 6,0.3
r2qkbnr/pbpn1p1p/1p1p2p1/4p3/2P5/1P2PN2/PB1PBPPP/RN1QK2R w KQkq - 0 7,0.26
r2qkbnr/pbpn1p1p/1p1p2p1/4p3/2PP4/1P2PN2/PB2BPPP/RN1QK2R b KQkq - 0 7,0.3
r2qk1nr/pbpn1pbp/1p1p2p1/4p3/2PP4/1P2PN2/PB2BPPP/RN1QK2R w KQkq - 1 8,-0.05
r2qk1nr/pbpn1pbp/1p1p2p1/4P3/2P5/1P2PN2/PB2BPPP/RN1QK2R b KQkq - 0 8,0.21
r2qk1nr/pbpn1pbp/1p4p1/4p3/2P5/1P2PN2/PB2BPPP/RN1QK2R w KQkq - 0 9,-0.04
r2qk1nr/pbpn1pbp/1p4p1/4p3/2P5/1P2PN2/PB1QBPPP/RN2K2R b KQkq - 1 9,0.0
r3k1nr/pbpnqpbp/1p4p1/4p3/2P5/1P2PN2/PB1QBPPP/RN2K2R w KQkq - 2 10,-0.22
r3k1nr/pbpnqpbp/1p4p1/4p3/2P5/1P2PN2/PB1QBPPP/RN3RK1 b kq - 3 10,0.13
2kr2nr/pbpnqpbp/1p4p1/4p3/2P5/1P2PN2/PB1QBPPP/RN3RK1 w - - 4 11,-0.26
2kr2nr/pbpnqpbp/1p4p1/4p3/2P5/1PN1PN2/PB1QBPPP/R4RK1 b - - 5 11,0.0
2kr2nr/pbp1qpbp/1p4p1/2n1p3/2P5/1PN1PN2/PB1QBPPP/R4RK1 w - - 6 12,0.38
2kr2nr/pbp1qpbp/1p4p1/2nNp3/2P5/1P2PN2/PB1QBPPP/R4RK1 b - - 7 12,1.25
2kr2nr/p1p1qpbp/1p4p1/2nbp3/2P5/1P2PN2/PB1QBPPP/R4RK1 w - - 0 13,1.42
2kr2nr/p1p1qpbp/1p4p1/2nPp3/8/1P2PN2/PB1QBPPP/R4RK1 b - - 0 13,1.85
2kr3r/p1p1qpbp/1p3np1/2nPp3/8/1P2PN2/PB1QBPPP/R4RK1 w - - 1 14,1.72
2kr3r/p1p1qpbp/1p3np1/2nPp3/1P6/4PN2/PB1QBPPP/R4RK1 b - - 0 14,1.24
2kr3r/p1p1qpbp/1p3np1/3Pp3/1P2n3/4PN2/PB1QBPPP/R4RK1 w - - 1 15,2.51
2kr3r/p1p1qpbp/1p3np1/3Pp3/1P2n3/4PN2/PBQ1BPPP/R4RK1 b - - 2 15,2.71
2k4r/p1p1qpbp/1p3np1/3rp3/1P2n3/4PN2/PBQ1BPPP/R4RK1 w - - 0 16,2.65
2k4r/p1p1qpbp/1p3np1/3rp3/1PB1n3/4PN2/PBQ2PPP/R4RK1 b - - 1 16,2.35
2k4r/p1prqpbp/1p3np1/4p3/1PB1n3/4PN2/PBQ2PPP/R4RK1 w - - 2 17,3.1
2k4r/p1prqpbp/1p3np1/4p3/QPB1n3/4PN2/PB3PPP/R4RK1 b - - 3 17,2.24
1k5r/p1prqpbp/1p3np1/4p3/QPB1n3/4PN2/PB3PPP/R4RK1 w - - 4 18,2.67
1k5r/p1prqpbp/1p3np1/4N3/QPB1n3/4P3/PB3PPP/R4RK1 b - - 0 18,2.96
1k5r/p1p1qpbp/1p1r1np1/4N3/QPB1n3/4P3/PB3PPP/R4RK1 w - - 1 19,2.41
1k5r/p1p1qpbp/1p1r1np1/1B2N3/QP2n3/4P3/PB3PPP/R4RK1 b - - 2 19,2.29
1k5r/p1p1qpbp/1p1r2p1/1B1nN3/QP2n3/4P3/PB3PPP/R4RK1 w - - 3 20,2.02
1k5r/p1p1qpbp/1pNr2p1/1B1n4/QP2n3/4P3/PB3PPP/R4RK1 b - - 4 20,2.54
1k5r/p1p1qpbp/1pr3p1/1B1n4/QP2n3/4P3/PB3PPP/R4RK1 w - - 0 21,2.02
1k5r/p1p1qpbp/1pB3p1/3n4/QP2n3/4P3/PB3PPP/R4RK1 b - - 0 21,0.91
1k5r/p1p1qpbp/1pB3p1/8/Qn2n3/4P3/PB3PPP/R4RK1 w - - 0 22,2.67
1k5r/p1p1qpbp/1pB3p1/8/1Q2n3/4P3/PB3PPP/R4RK1 b - - 0 22,-1.37
1k5r/p1p2pbp/1pB3p1/8/1q2n3/4P3/PB3PPP/R4RK1 w - - 0 23,-1.85
1k5r/p1p2pBp/1pB3p1/8/1q2n3/4P3/P4PPP/R4RK1 b - - 0 23,-1.97
1k1r4/p1p2pBp/1pB3p1/8/1q2n3/4P3/P4PPP/R4RK1 w - - 1 24,-1.75
1k1r4/p1p2pBp/1pB3p1/8/1q2n3/4P3/P4PPP/RR4K1 b - - 2 24,-2.87
1k1r4/p1p2pBp/1pBq2p1/8/4n3/4P3/P4PPP/RR4K1 w - - 3 25,1.15
1k1r4/p1p2pBp/1p1q2p1/8/4B3/4P3/P4PPP/RR4K1 b - - 0 25,0.43
1k1r4/p1p3Bp/1p1q1pp1/8/4B3/4P3/P4PPP/RR4K1 w - - 0 26,1.96
1k1r4/p1p4p/1p1q1ppB/8/4B3/4P3/P4PPP/RR4K1 b - - 1 26,-0.42
1k1r4/p1p4p/1p1q2pB/5p2/4B3/4P3/P4PPP/RR4K1 w - - 0 27,2.51
1k1r4/p1p4p/1p1q2p1/5p2/4BB2/4P3/P4PPP/RR4K1 b - - 1 27,0.85
1k1r4/p1p4p/1p2q1p1/5p2/4BB2/4P3/P4PPP/RR4K1 w - - 2 28,3.08
1k1r4/p1p4p/1p2q1p1/5p2/5B2/4PB2/P4PPP/RR4K1 b - - 3 28,3.48
1k1r4/p1p4p/1p3qp1/5p2/5B2/4PB2/P4PPP/RR4K1 w - - 4 29,3.51
1k1r4/p1p4p/1p3qp1/5p2/5B2/4PB2/P4PPP/R1R3K1 b - - 5 29,3.86
1k6/p1pr3p/1p3qp1/5p2/5B2/4PB2/P4PPP/R1R3K1 w - - 6 30,3.64
1k6/p1pr3p/1p3qp1/5p2/5B1P/4PB2/P4PP1/R1R3K1 b - - 0 30,3.72
1k6/p1pr4/1p3qpp/5p2/5B1P/4PB2/P4PP1/R1R3K1 w - - 0 31,3.59
1k6/p1pr4/1p3qpp/5p2/5B1P/4PBP1/P4P2/R1R3K1 b - - 0 31,0.72
1k6/p1pr4/1p3q1p/5pp1/5B1P/4PBP1/P4P2/R1R3K1 w - - 0 32,1.24
1k6/p1pr4/1p3q1p/5pP1/5B2/4PBP1/P4P2/R1R3K1 b - - 0 32,0.56
1k6/p1pr4/1p3q2/5pp1/5B2/4PBP1/P4P2/R1R3K1 w - - 0 33,0.89
1k6/p1Br4/1p3q2/5pp1/8/4PBP1/P4P2/R1R3K1 b - - 0 33,-1.07
1k6/p1r5/1p3q2/5pp1/8/4PBP1/P4P2/R1R3K1 w - - 0 34,-1.69
1k6/p1R5/1p3q2/5pp1/8/4PBP1/P4P2/R5K1 b - - 0 34,-6.12
8/p1k5/1p3q2/5pp1/8/4PBP1/P4P2/R5K1 w - - 0 35,6.45
8/p1k5/1p3q2/5pp1/8/4PBP1/P4P2/2R3K1 b - - 1 35,-0.71
3k4/p7/1p3q2/5pp1/8/4PBP1/P4P2/2R3K1 w - - 2 36,8.94
3k4/p7/1pR2q2/5pp1/8/4PBP1/P4P2/6K1 b - - 3 36,-5.12
