FEN,stockfish_score
rn1k1b1r/ppp2ppp/4Bn2/4p3/4P3/2N5/PPP2PPP/R1B1K1NR b KQ - 0 7,0.43
rn1k1b1r/ppp3pp/4pn2/4p3/4P3/2N5/PPP2PPP/R1B1K1NR w KQ - 0 8,0.35
rn1k1b1r/ppp3pp/4pn2/4p1B1/4P3/2N5/PPP2PPP/R3K1NR b KQ - 1 8,0.3
rn1k3r/ppp3pp/3bpn2/4p1B1/4P3/2N5/PPP2PPP/R3K1NR w KQ - 2 9,0.21
rn1k3r/ppp3pp/3bpn2/4p1B1/4P3/2N5/PPP2PPP/2KR2NR b - - 3 9,0.38
rn5r/ppp1k1pp/3bpn2/4p1B1/4P3/2N5/PPP2PPP/2KR2NR w - - 4 10,0.12
rn5r/ppp1k1pp/3bpn2/4p1B1/4P3/2N5/PPP1NPPP/2KR3R b - - 5 10,0.26
r6r/pppnk1pp/3bpn2/4p1B1/4P3/2N5/PPP1NPPP/2KR3R w - - 6 11,0.0
r6r/pppnk1pp/3bpn2/4p1B1/4P3/2N2P2/PPP1N1PP/2KR3R b - - 0 11,0.26
r6r/pppnk1p1/3bpn1p/4p1B1/4P3/2N2P2/PPP1N1PP/2KR3R w - - 0 12,0.0
r6r/pppnk1p1/3bpn1p/4p3/4P3/2N1BP2/PPP1N1PP/2KR3R b - - 1 12,0.3
rr6/pppnk1p1/3bpn1p/4p3/4P3/2N1BP2/PPP1N1PP/2KR3R w - - 2 13,0.17
rr6/pppnk1p1/3bpn1p/1N2p3/4P3/4BP2/PPP1N1PP/2KR3R b - - 3 13,0.56
rr6/1ppnk1p1/p2bpn1p/1N2p3/4P3/4BP2/PPP1N1PP/2KR3R w - - 0 14,0.13
rr6/1ppnk1p1/p2Npn1p/4p3/4P3/4BP2/PPP1N1PP/2KR3R b - - 0 14,0.35
rr6/1p1nk1p1/p2ppn1p/4p3/4P3/4BP2/PPP1N1PP/2KR3R w - - 0 15,0.09
rr6/1p1nk1p1/p2ppn1p/4p3/4P3/2N1BP2/PPP3PP/2KR3R b - - 1 15,0.3
rr6/3nk1p1/p2ppn1p/1p2p3/4P3/2N1BP2/PPP3PP/2KR3R w - - 0 16,0.0
rr6/3nk1p1/p2ppn1p/1p2p3/4P3/2N1BP2/PPP3PP/1K1R3R b - - 1 16,0.17
rr6/3nk1p1/p2ppn1p/4p3/1p2P3/2N1BP2/PPP3PP/1K1R3R w - - 0 17,0.0
rr6/3nk1p1/p2ppn1p/4p3/Np2P3/4BP2/PPP3PP/1K1R3R b - - 1 17,0.13
rr6/3nk1p1/3ppn1p/p3p3/Np2P3/4BP2/PPP3PP/1K1R3R w - - 0 18,0.08
rr6/3nk1p1/3ppn1p/p3p3/Np2P3/1P2BP2/P1P3PP/1K1R3R b - - 0 18,0.17
r1r5/3nk1p1/3ppn1p/p3p3/Np2P3/1P2BP2/P1P3PP/1K1R3R w - - 1 19,0.43
r1r5/3nk1p1/3ppn1p/p3p3/1p2P3/1P2BP2/PNP3PP/1K1R3R b - - 2 19,0.0
r1r5/3nk1p1/4pn1p/p2pp3/1p2P3/1P2BP2/PNP3PP/1K1R3R w - - 0 20,-0.35
r1r5/3nk1p1/4pn1p/p2Pp3/1p6/1P2BP2/PNP3PP/1K1R3R b - - 0 20,-0.13
r1r5/3nk1p1/5n1p/p2pp3/1p6/1P2BP2/PNP3PP/1K1R3R w - - 0 21,-0.13
r1r5/3nk1p1/5n1p/p2pp3/1p6/1P2BP2/PNP3PP/1K1RR3 b - - 1 21,0.09
r1r5/3n1kp1/5n1p/p2pp3/1p6/1P2BP2/PNP3PP/1K1RR3 w - - 2 22,0.0
r1r5/3n1kp1/5n1p/p2pp3/1p6/1P3P2/PNP2BPP/1K1RR3 b - - 3 22,0.21
r7/3n1kp1/5n1p/p2pp3/1p6/1Pr2P2/PNP2BPP/1K1RR3 w - - 4 23,0.38
r7/3n1kp1/5n1p/p2pp3/1p6/1PrN1P2/P1P2BPP/1K1RR3 b - - 5 23,0.75
2r5/3n1kp1/5n1p/p2pp3/1p6/1PrN1P2/P1P2BPP/1K1RR3 w - - 6 24,0.37
2r5/3n1kp1/5n1p/p2pp3/1p6/1PrN1P2/P1P1RBPP/1K1R4 b - - 7 24,0.51
2r5/3n1k2/5n1p/p2pp1p1/1p6/1PrN1P2/P1P1RBPP/1K1R4 w - - 0 25,0.55
2r5/3n1k2/5n1p/p2pp1p1/1p6/1PrN1P2/P1PRRBPP/1K6 b - - 1 25,0.38
2r5/3n1k2/5n1p/p2p2p1/1p2p3/1PrN1P2/P1PRRBPP/1K6 w - - 0 26,0.0
2r5/3n1k2/5n1p/p2p2p1/1p2P3/1PrN4/P1PRRBPP/1K6 b - - 0 26,0.21
2r5/3n1k2/7p/p2p2p1/1p2n3/1PrN4/P1PRRBPP/1K6 w - - 0 27,0.05
2r5/3n1k2/7p/p2p2p1/1p2n3/1PrN4/P1P1RBPP/1K1R4 b - - 1 27,0.05
2r5/3n1k2/2r4p/p2p2p1/1p2n3/1P1N4/P1P1RBPP/1K1R4 w - - 2 28,0.0
2r5/3n1k2/2r4p/p2p2p1/1p1Bn3/1P1N4/P1P1R1PP/1K1R4 b - - 3 28,0.26
2r5/3n4/2r3kp/p2p2p1/1p1Bn3/1P1N4/P1P1R1PP/1K1R4 w - - 4 29,0.29
2r5/3n4/2r3kp/p2p2p1/1p1Bn3/1P1N4/P1P1R1PP/1K3R2 b - - 5 29,0.38
2r5/3n4/2r3k1/p2p2pp/1p1Bn3/1P1N4/P1P1R1PP/1K3R2 w - - 0 30,0.35
2r5/3n4/2r3k1/p2p2pp/1p1Bn3/1P1N4/PKP1R1PP/5R2 b - - 1 30,0.81
4r3/3n4/2r3k1/p2p2pp/1p1Bn3/1P1N4/PKP1R1PP/5R2 w - - 2 31,0.38
4r3/3n4/2r3k1/p2p2pp/1p1Bn3/1P1N3P/PKP1R1P1/5R2 b - - 0 31,0.6
4r3/3n4/2r3k1/p2p2p1/1p1Bn2p/1P1N3P/PKP1R1P1/5R2 w - - 0 32,0.17
4r3/3n4/2r3k1/p2p2p1/1p1Bn2p/1P1N1R1P/PKP1R1P1/8 b - - 1 32,0.42
2r5/3n4/2r3k1/p2p2p1/1p1Bn2p/1P1N1R1P/PKP1R1P1/8 w - - 2 33,0.17
2r5/3n4/2r3k1/p2p2p1/1p1Bn2p/1P1NR2P/PKP1R1P1/8 b - - 3 33,0.29
2r5/2rn4/6k1/p2p2p1/1p1Bn2p/1P1NR2P/PKP1R1P1/8 w - - 4 34,0.34
2r5/2rn4/6k1/p2pN1p1/1p1Bn2p/1P2R2P/PKP1R1P1/8 b - - 5 34,-0.09
2r5/2r5/6k1/p2pn1p1/1p1Bn2p/1P2R2P/PKP1R1P1/8 w - - 0 35,-0.3
