timestamp,num,B3 - Colorado Rockies,B3 - Oakland Athletics,SK - Colorado Rockies,SK - Oakland Athletics,PP - Colorado Rockies,PP - Oakland Athletics,WH - Colorado Rockies,WH - Oakland Athletics,EE - Colorado Rockies,EE - Oakland Athletics,FB - Colorado Rockies,FB - Oakland Athletics,VC - Colorado Rockies,VC - Oakland Athletics,LD - Colorado Rockies,LD - Oakland Athletics,UN - Colorado Rockies,UN - Oakland Athletics,SX - Colorado Rockies,SX - Oakland Athletics,FR - Colorado Rockies,FR - Oakland Athletics,KN - Colorado Rockies,KN - Oakland Athletics,BY - Colorado Rockies,BY - Oakland Athletics,OE - Colorado Rockies,OE - Oakland Athletics,S6 - Colorado Rockies,S6 - Oakland Athletics,PUP - Colorado Rockies,PUP - Oakland Athletics,SI - Colorado Rockies,SI - Oakland Athletics,LS - Colorado Rockies,LS - Oakland Athletics,QN - Colorado Rockies,QN - Oakland Athletics,WA - Colorado Rockies,WA - Oakland Athletics,CE - Colorado Rockies,CE - Oakland Athletics,N4 - Colorado Rockies,N4 - Oakland Athletics,G5 - Colorado Rockies,G5 - Oakland Athletics,VT - Colorado Rockies,VT - Oakland Athletics,AKB - Colorado Rockies,AKB - Oakland Athletics,BF - Colorado Rockies,BF - Oakland Athletics,MA - Colorado Rockies,MA - Oakland Athletics
1743903849.4686503,34,4/6,6/5,,,2/7,12/5,4/11,2,7/10,1,3/10,12/5,,,8/15,29/20,4/6,59/50,8/11,1,10/13,21/20,16/25,57/50,2/5,7/4,8/13,23/20,2/5,10/11,13/8,1/2,4/6,11/10,8/25,23/10,1/4,27/10,4/6,6/5,11/20,7/5,1/3,21/10,,,,,2/5,47/25,4/7,13/10,4/7,1/6
1743903880.3937469,35,4/6,6/5,,,2/7,12/5,4/11,2,1/3,2,3/10,12/5,,,2/7,13/5,8/25,47/20,8/11,1,4/11,21/10,16/25,57/50,2/5,7/4,8/13,23/20,2/5,10/11,4/9,7/4,4/11,2,7/20,21/10,4/15,5/2,1/4,11/4,2/7,7/5,4/11,19/10,,,,,2/5,47/25,3/10,12/5,4/7,1/6
1743903910.3623915,36,10/27,21/10,,,2/7,12/5,4/11,2,1/3,2,3/10,12/5,,,2/7,13/5,8/25,47/20,1/3,11/5,4/11,21/10,16/25,57/50,2/5,15/8,8/13,23/20,4/9,7/4,4/9,7/4,1/3,11/5,33/100,21/10,4/15,5/2,1/4,11/4,2/7,13/5,1/3,21/10,,,,,4/9,7/4,1/100,1,4/7,1/6
1743903939.3036056,37,10/27,21/10,,,2/7,12/5,4/11,2,1/3,2,3/10,12/5,,,2/7,13/5,8/25,47/20,1/3,11/5,4/11,21/10,16/25,57/50,2/5,15/8,8/13,23/20,4/9,7/4,4/9,7/4,1/3,11/5,33/100,21/10,4/15,5/2,1/4,11/4,2/7,13/5,1/3,21/10,,,,,4/9,7/4,1/100,1,4/7,1/6
1743903969.0666614,38,10/27,21/10,,,2/7,12/5,4/11,2,2/5,17/10,3/10,12/5,,,2/7,13/5,7/20,11/5,1/3,11/5,4/11,11/5,4/11,37/20,1/2,6/4,2/7,12/5,4/9,7/4,4/9,7/4,1/3,11/5,21/50,9/5,4/11,21/10,2/7,5/2,4/11,21/10,1/3,21/10,,,,,4/9,7/4,1/4,19/10,4/7,1/6
1743903999.233327,39,10/27,21/10,,,2/7,12/5,4/11,2,2/5,17/10,3/10,12/5,,,2/7,13/5,7/20,11/5,1/3,11/5,4/11,11/5,4/11,37/20,1/2,6/4,2/7,12/5,4/9,7/4,4/9,7/4,1/3,11/5,21/50,9/5,4/11,21/10,2/7,5/2,4/11,21/10,1/3,21/10,,,,,4/9,7/4,1/4,19/10,4/7,1/6
1743904029.0317814,40,10/21,33/20,,,4/9,13/8,4/9,13/8,8/15,13/10,40/85,13/8,,,2/7,13/5,12/25,33/20,8/15,11/8,4/7,7/5,2/5,9/5,1/2,13/8,2/7,12/5,1/2,13/8,1/2,13/8,8/15,11/8,4/9,13/8,4/11,15/8,1/3,9/4,4/9,7/4,4/7,13/10,,,,,1/2,13/8,3/10,23/10,4/7,1/6
1743904059.3068378,41,10/21,33/20,,,4/9,13/8,4/9,13/8,8/15,13/10,40/85,13/8,,,2/7,13/5,12/25,33/20,8/15,11/8,4/7,7/5,2/5,9/5,1/2,13/8,2/7,12/5,1/2,13/8,1/2,13/8,8/15,11/8,4/9,13/8,4/11,15/8,1/3,9/4,4/9,7/4,4/7,13/10,,,,,1/2,13/8,3/10,23/10,4/7,1/6
1743904085.3244731,42
1743904115.1293514,43,4/6,6/5,,,4/7,13/10,8/15,11/8,4/7,5/4,6/10,13/10,,,4/7,13/10,4/7,27/20,4/7,5/4,8/13,13/10,2/5,9/5,4/7,11/8,21/50,33/20,4/7,11/8,4/7,11/8,4/7,5/4,4/7,13/10,8/15,29/20,4/9,7/4,4/7,13/10,4/6,11/10,,,,,4/7,11/8,4/9,6/4,4/7,1/6
