timestamp,num,B3 - Toronto Blue Jays,B3 - New York Mets,SK - Toronto Blue Jays,SK - New York Mets,PP - Toronto Blue Jays,PP - New York Mets,WH - Toronto Blue Jays,WH - New York Mets,EE - Toronto Blue Jays,EE - New York Mets,FB - Toronto Blue Jays,FB - New York Mets,VC - Toronto Blue Jays,VC - New York Mets,LD - Toronto Blue Jays,LD - New York Mets,UN - Toronto Blue Jays,UN - New York Mets,SX - Toronto Blue Jays,SX - New York Mets,FR - Toronto Blue Jays,FR - New York Mets,KN - Toronto Blue Jays,KN - New York Mets,BY - Toronto Blue Jays,BY - New York Mets,OE - Toronto Blue Jays,OE - New York Mets,S6 - Toronto Blue Jays,S6 - New York Mets,PUP - Toronto Blue Jays,PUP - New York Mets,SI - Toronto Blue Jays,SI - New York Mets,LS - Toronto Blue Jays,LS - New York Mets,QN - Toronto Blue Jays,QN - New York Mets,WA - Toronto Blue Jays,WA - New York Mets,CE - Toronto Blue Jays,CE - New York Mets,N4 - Toronto Blue Jays,N4 - New York Mets,G5 - Toronto Blue Jays,G5 - New York Mets,VT - Toronto Blue Jays,VT - New York Mets,AKB - Toronto Blue Jays,AKB - New York Mets,BF - Toronto Blue Jays,BF - New York Mets,MA - Toronto Blue Jays,MA - New York Mets
1743903651.8030117,35
1743903680.3581767,36,10/37,27/10,,,1/3,23/10,1/5,10/3,2/9,11/4,4/11,21/10,,,1/6,11/5,2/15,23/5,1/6,11/4,1/4,3,1/9,22/5,2/7,5/2,2/15,4,2/11,7/2,1/3,9/4,1/6,7/2,7/25,49/20,2/11,14/5,2/9,3,1/3,3,1/4,13/5,,,,,3/10,5/2,2/13,5/2,1/8,12/5
1743903711.1669335,37,10/37,27/10,,,1/3,23/10,1/5,10/3,2/9,11/4,4/11,21/10,,,1/6,11/5,2/15,23/5,1/6,11/4,1/4,3,1/9,22/5,2/7,5/2,2/15,4,2/11,7/2,1/3,9/4,1/6,7/2,7/25,49/20,2/11,14/5,2/9,3,1/3,3,1/4,13/5,,,,,3/10,5/2,2/13,5/2,1/8,12/5
1743903740.3624516,38,10/37,27/10,,,4/11,2,4/11,2,1/4,5/2,2/5,15/8,,,4/11,2,7/25,13/5,1/3,11/5,1/3,23/10,8/25,11/5,4/11,2,1/4,51/20,4/11,2,4/11,2,1/4,11/4,8/25,11/5,2/11,13/5,2/7,5/2,4/11,2,1/4,13/5,,,,,4/11,2,2/9,14/5,3/10,15/8
1743903770.2695332,39,10/37,27/10,,,4/11,2,4/11,2,1/4,5/2,2/5,15/8,,,4/11,2,7/25,13/5,1/3,11/5,1/3,23/10,8/25,11/5,4/11,2,1/4,51/20,4/11,2,4/11,2,1/4,11/4,8/25,11/5,2/11,13/5,2/7,5/2,4/11,2,1/4,13/5,,,,,4/11,2,2/9,14/5,3/10,15/8
1743903800.092458,40,10/33,12/5,,,2/7,12/5,1/3,9/4,1/5,31/10,3/10,12/5,,,4/11,2,2/7,13/5,1/6,10/3,4/17,7/2,2/9,21/5,2/7,5/2,1/4,51/20,3/10,5/2,4/11,5/2,2/9,3,6/25,14/5,4/11,21/10,2/7,5/2,1/3,9/4,2/9,3,,,,,3/10,5/2,4/11,5/2,3/10,15/8
1743903829.689579,41,10/33,12/5,,,2/7,12/5,1/3,9/4,1/5,31/10,3/10,12/5,,,4/11,2,2/7,13/5,1/6,10/3,4/17,7/2,2/9,21/5,2/7,5/2,1/4,51/20,3/10,5/2,4/11,5/2,2/9,3,6/25,14/5,4/11,21/10,2/7,5/2,1/3,9/4,2/9,3,,,,,3/10,5/2,4/11,5/2,3/10,15/8
1743903860.402811,42,10/33,12/5,,,8/15,11/8,1/3,13/10,4/9,6/4,8/15,11/8,,,3/5,13/10,2/5,19/10,4/9,10/3,1/5,17/10,2/9,11/5,2/5,7/4,1/4,51/20,1/2,13/8,4/9,7/4,4/9,13/8,4/11,39/20,1/4,23/10,4/11,2,1/3,2,4/9,13/8,,,,,3/10,13/8,1/3,19/10,3/10,15/8
1743903890.6001368,43,10/33,12/5,,,2/5,13/8,4/7,6/4,1/3,17/10,4/9,29/20,,,3/5,13/10,2/5,19/10,4/9,13/8,4/11,11/5,2/9,14/5,4/11,2,1/4,47/20,1/2,13/8,4/9,7/4,1/3,11/5,2/5,2,3/10,12/5,4/11,2,11/20,7/5,1/3,21/10,,,,,1/2,13/8,8/15,11/8,3/10,15/8
1743903921.1997068,44,2/5,2,,,4/9,13/8,4/7,6/4,4/11,15/8,4/9,29/20,,,4/7,11/8,2/5,19/10,4/11,2,2/5,2,2/9,14/5,2/5,7/4,2/7,47/20,4/9,7/4,4/9,7/4,4/11,2,2/5,2,4/11,21/10,10/33,12/5,8/15,6/4,4/11,19/10,,,,,4/9,7/4,2/5,13/8,3/10,15/8
1743903951.8713286,45,2/5,2,,,2/7,12/5,4/7,6/4,2/5,17/10,2/7,5/2,,,4/7,11/8,2/5,39/20,2/5,7/4,4/9,15/8,8/25,11/5,1/2,13/8,2/7,47/20,4/9,7/4,4/9,7/4,2/5,7/4,1/4,14/5,2/9,29/10,10/33,12/5,4/7,11/8,2/5,7/4,,,,,4/9,7/4,8/15,13/10,3/10,15/8
1743904052.366425,46,2/5,2,,,2/7,12/5,4/7,6/4,1/5,3,2/7,5/2,,,4/7,11/8,2/5,39/20,2/9,3,4/17,16/5,8/25,11/5,3/10,9/4,2/7,47/20,4/9,7/4,4/9,7/4,2/9,3,1/4,14/5,1/4,27/10,2/9,3,4/7,11/8,2/9,3,,,,,4/9,7/4,1/100,2/11,3/10,15/8
1743904078.8520703,47
